mastodon.tech-nico.de,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mastodon.habets.dev,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mstdn.party,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mastodon.mmjo.com,1,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mastodon.modern-industry.com,1,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mastodon.motorsport.org.uk,5,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mastodon.multimob.be,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mastodon.thirring.org,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
m.adventurehound.io,1,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mastodon.hockey,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mastodon.incrediblepbx.net,4,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mastodon.vhome.info,4,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mastodon.westsideblogger.eu,1,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
rwx.ch,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
skepteis.social,5,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
slut.town,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
nutmeg.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
my0.net,4,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mojt.net,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
quasstodon.social,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
soapbox.network,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mostlychris.net,1,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
pgh.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
medien.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
rarified.online,1,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
natterati.com,1,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mstdn.bitwalker.eu,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
phpc.social,8,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
sci.kiwi,4,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social-potsdam.space,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
nixie.name,1,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.eightballde.luxe,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mstdn.media,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
pkutalk.com,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.b0t.at,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.baubs.net,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.nerdnightlax.com,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
rigor-mortis.nmrc.org,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.bitwig.community,4,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
mstdn.online,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.nubecula.org,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.ourwebgrove.com,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.cbeck.dev,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.seattle.wa.us,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.sineware.ca,4,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.spnr.de,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.team-unix.de,1,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
strangeminds.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.plux.wtf,4,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
stuph.org,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.lacheiner.at,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.lecker.coffee,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.lgm.ltd,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
sugarfuel.social,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.lochetfamily.com,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.main-angler.de,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
solarpunk.moe,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
sicem.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
sunspot.icu,4,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
toot.onlyfans.tokyo,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.retronerd.at,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
toot.rayonnant.org,7,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
toot.subak.club,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
toot.works,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
social.tsueri.cloud,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
sysad.ninja,5,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
t00t.it,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
thepathbegins.social,5,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
tooting.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
toots.im,1,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
techforgood.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
speedrun.zone,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
willems.social,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
trivia.town,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
technews.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
telepath.ee,10,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
stadtbu.de,4,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
vrnd.network,5,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
vrsimility.masto.host,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
wadoryu.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
tny.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
werebeast.net,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
tewt.me,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
toot.ballioljcr.org,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
